,Heart,Valve,Ventricle,Atrium,Osteoblast,Adipocyte,Stromal cell,Chondrocyte,Bone marrow,Adipose,Colon mucosa,Gastric epithelial cell,Hepatic stellate cell,Hepatocyte,Alpha cell,Colon,Esophagus,Beta cell,Liver,Intestinal epithelial cell,Pancreatic islet,Small intestine,Tlymphocyte,Plasma cell,Blymphocyte,Spleen,Kupffer cell,Dendritic cell,Plasmacytoid dendritic cell,Macrophage,Thymus,Neutrophil,Microglia,Thymocyte,Granulocyte,Melanocyte,Fibroblast,Keratinocyte,Skin,Basal cell,Hair follicle,Vascular smooth muscle,Myofibroblast,Myoblast,Airway smooth muscle,Skeletal muscle,Oligodendrocyte,Astrocyte,Neuron,Medulla,Pons,Motor neuron,Sensory neuron,Midbrain,Hypothalamus,Cerebral cortex,Thalamus,Retina,Spinal cord,Cerebellum,Lung epithelial cell,Lung,Trachea,Podocyte,Granulosa,Oocyte,Kidney,Mammary gland,Ovary,Breast,Testis,Renal cortex
AEN,8.68407,8.23252,6.58321,6.20796,9.20018,8.81909,8.81909,8.5654,7.87338,5.5331,9.73619,9.6334,9.52562,9.13826,8.8032,8.65534,8.29015,8.26103,8.24342,8.09038,7.58896,7.48062,9.49929,9.46474,9.44594,8.88232,8.84868,8.31686,8.03109,7.98143,7.79166,7.78223,7.78223,6.85317,6.69416,10.0973,9.40669,9.04527,8.74681,8.19063,6.59716,9.43595,9.23523,9.20348,8.93702,6.39847,9.26011,8.93279,8.55681,8.0954,7.95551,7.82916,7.69494,7.19727,6.89949,6.79158,6.78736,6.64699,6.24863,3.64478,10.3029,8.85597,8.14304,9.7887,9.54156,9.48117,8.83547,8.82966,8.61401,8.54663,7.93237,7.01423
APEX1,10.6375,10.8457,9.89804,10.1365,10.5589,10.2226,10.5993,10.0119,10.8704,9.33823,10.4335,10.8522,10.7986,10.3774,9.7665,10.6303,10.8981,10.3761,10.4466,9.90627,9.74973,9.72488,10.9171,9.98645,11.1609,10.1475,10.1231,9.99244,11.3518,9.98841,10.6399,9.71621,10.4165,10.4225,7.70513,10.7496,10.628,10.6567,10.5322,10.1176,10.3953,10.7709,10.4389,10.9053,10.2807,10.0042,10.3064,10.6691,10.7008,9.52063,10.2534,11.0957,10.7486,10.2515,10.2897,11.5332,10.2047,10.4851,8.75269,7.66804,11.199,10.6291,10.4259,10.9129,10.8826,10.5113,10.6348,10.686,10.8583,10.9934,8.78278,8.85799
APEX2,7.86771,7.64019,7.20421,6.9608,7.75317,7.49163,7.62734,7.32343,7.60281,7.7752,7.71839,8.69824,7.88609,8.19063,7.11933,8.23044,8.33012,7.16279,7.87338,7.91639,6.89949,7.50607,8.42795,7.31657,9.0084,8.27173,7.53603,8.49652,8.26811,8.39705,7.67532,8.09635,7.10033,7.90918,7.67133,8.26064,7.65305,8.81617,7.89585,8.02846,7.63911,7.75317,7.98821,7.53683,7.28786,6.23741,5.74381,7.17515,6.16133,6.88092,7.80811,6.2249,7.09227,5.45333,6.42264,5.55187,6.39847,6.13094,5.39744,3.76961,9.392,8.25667,8.29646,8.45606,8.06141,8.86664,8.01158,8.44789,7.83104,8.80701,6.34193,6.74061
APRT,9.78515,9.12256,7.54534,7.46673,9.05067,9.26347,9.45232,9.1264,9.78113,9.75599,9.25917,9.88789,9.53922,9.75599,9.30245,9.9103,10.1213,8.21516,9.41232,8.77671,9.51726,8.78698,10.0895,10.2198,10.1767,10.1192,9.41728,9.5661,10.278,9.45919,9.24322,9.27797,8.59732,9.1216,7.81089,9.62859,9.34377,9.8704,9.6486,8.95954,8.47402,9.40484,9.32964,9.42566,9.4937,8.17773,6.33362,8.13855,7.48062,8.62629,9.69473,8.26064,7.89087,6.27464,7.68261,6.30682,7.75317,7.00491,6.53965,4.26947,10.6156,9.82698,9.70267,9.1614,9.52856,8.18352,9.8038,9.91577,9.50768,10.1192,8.1064,8.22167
ASF1B,2.92457,3.83218,2.92457,2.41968,6.86236,4.80976,5.28658,5.4736,5.72615,2.61696,7.3574,7.2262,6.38743,4.05534,0.113644,8.12544,8.90451,3.67632,4.47438,4.94577,0.113644,4.56034,7.67462,4.26947,9.44685,6.56004,3.90584,5.40837,4.67269,6.66685,7.65987,7.84148,4.89983,8.21748,8.90973,7.50055,6.47324,7.48062,5.59303,5.59303,4.47358,5.25971,7.17628,5.79561,4.05534,1.81287,5.69219,6.56004,4.84279,5.96484,5.76006,3.05618,2.16272,1.20968,2.61696,5.22302,2.41968,3.28517,1.81287,1.20968,8.80989,7.19032,5.23546,9.19687,7.80966,8.98109,8.24342,8.60063,7.28315,8.62241,8.35465,2.16272
AURKB,3.1737,3.1737,2.16272,2.77595,6.6958,3.39116,5.72615,4.9151,6.85317,2.16272,8.15277,5.99678,5.95167,3.76961,1.20968,7.94538,8.91634,3.80089,4.16691,6.25074,0.113644,4.31312,7.21826,5.96743,9.42737,5.61397,2.85026,4.21911,3.05618,5.34282,7.86274,5.12981,6.16133,8.18352,6.53843,7.4436,6.81895,7.9278,5.99799,6.42264,4.88658,5.67402,6.79179,6.77744,3.9543,3.28517,6.68963,6.49365,6.13094,5.11544,4.67269,6.21406,1.20968,1.81287,3.1737,5.94431,2.41968,3.97909,1.81287,1.81287,9.67475,7.60901,5.82639,8.65434,7.64271,9.41232,8.5892,8.34822,7.49691,8.31069,4.63537,1.51127
BAX,7.62734,8.42864,6.82687,6.51665,9.78657,8.69269,9.18212,8.42041,8.6722,5.98306,9.19924,10.3591,10.2226,9.30467,8.46109,9.27156,8.00002,8.36809,8.47114,8.6722,8.21284,8.37004,9.5734,8.37948,9.57223,9.07876,9.62868,9.31551,9.65198,9.7299,8.71775,9.75847,8.38436,7.48062,9.30229,10.6179,9.56147,9.61398,8.47114,7.91354,7.42442,9.88733,10.0828,8.90075,10.049,6.58321,7.99022,9.17908,8.05706,8.04421,8.93279,7.74633,7.68261,7.50252,7.82186,7.74852,7.82186,7.37623,6.91696,5.12981,9.49303,9.08301,9.31551,10.1594,7.9861,7.04658,8.98109,8.59297,8.45606,8.93702,5.75821,7.05469
BCL2L12,6.14657,6.08859,5.25971,4.80976,6.90917,5.96743,6.61407,6.49365,4.71212,4.59911,6.82005,7.78039,6.9657,6.74061,0.113644,7.38969,7.91821,2.92457,6.48238,6.48501,0.113644,4.11061,7.35149,0.113644,8.45365,7.01742,6.20187,6.90917,7.63021,6.92548,6.73175,7.37048,4.93037,6.90917,7.47993,7.10199,6.76675,7.53071,6.18762,6.93534,6.18845,6.33362,7.00978,6.11658,6.36501,6.90917,4.84279,6.06605,4.56034,4.63537,6.39847,3.76961,2.92457,3.05618,4.05534,3.62542,3.89584,4.11061,2.77595,0.113644,8.12214,7.08465,6.48238,7.78223,8.22153,8.65434,7.50974,7.41554,7.12986,7.53683,5.41928,3.43619
BIRC5,6.24863,4.53781,2.77595,5.22838,8.64651,5.31558,7.72151,7.48745,8.77715,6.49925,9.16065,8.22039,7.47443,4.93037,3.83218,8.9349,9.5376,6.80964,5.25971,7.69168,4.26947,6.64674,8.19468,8.08888,10.2813,6.68963,4.16486,4.00388,3.1737,6.05008,8.51468,4.80976,7.85429,9.95727,5.12832,8.62913,8.87207,8.76373,7.73525,7.85656,6.70473,7.33029,8.79562,8.98109,5.31558,2.61696,8.64333,8.40872,8.01158,7.81806,5.45333,7.96365,2.41968,5.60199,3.39116,7.63911,3.28517,5.97524,2.16272,2.41968,11.2637,9.13826,7.03818,9.29283,8.78718,9.05898,9.56053,9.71032,8.80141,10.0971,9.3815,2.16272
BUB1,4.96278,4.11061,3.48123,2.77595,7.99738,4.99416,6.35762,6.05008,7.06978,2.61696,9.05713,7.93949,6.65623,4.63537,0.113644,8.70389,8.70389,3.64478,4.11061,5.97623,0.113644,5.31558,7.9278,7.60281,10.558,6.51705,4.81015,5.91845,6.97799,6.17424,8.52927,4.84279,6.88558,9.38776,5.00836,7.65305,8.05127,8.66501,6.51705,7.40226,5.97524,7.28076,8.21935,7.23871,5.07842,2.16272,8.26448,8.08164,7.15725,6.38471,5.34282,6.18762,3.76961,2.16272,2.41968,7.74954,2.16272,4.26947,1.81287,0.113644,10.0719,8.37004,6.74966,9.31882,9.22757,10.034,8.78364,9.45232,8.53392,9.57078,9.48089,1.81287
C10orf2,6.06605,6.50535,6.31829,5.58184,7.02366,6.64674,6.66154,6.70196,5.5514,4.84279,6.86508,7.67351,7.35149,7.19727,3.64478,7.46426,6.52893,5.76006,6.58321,4.71674,0.113644,5.02256,8.18352,0.113644,8.72465,7.03818,6.90336,6.56004,7.49163,6.35023,6.7824,6.26032,5.72615,7.21103,3.56825,8.04802,6.85317,8.05706,6.68963,7.557,6.42922,7.24729,6.83068,6.83068,6.35023,7.45283,6.13094,6.61965,6.51705,6.37813,6.48238,6.33362,7.29945,6.72628,5.20789,7.48237,5.20789,5.57065,4.3519,4.00388,8.05995,7.05535,6.83068,7.31657,7.95029,7.82526,7.27051,7.60901,7.34809,7.80204,6.72749,5.75193
C17orf53,3.1737,3.76961,3.28517,3.1737,5.44176,4.96278,4.59911,4.47438,2.61696,3.28517,5.4736,6.19268,5.34282,4.59911,0.113644,5.51459,5.47412,3.05618,3.39116,1.81287,0.113644,2.92457,5.99799,0.113644,7.07,4.67269,4.21911,5.12981,5.45216,5.25971,4.77752,3.1737,3.39116,4.93037,3.56825,5.87595,5.28658,6.26032,4.21911,4.6924,4.19301,4.96278,5.58184,4.67269,4.31312,2.61696,4.63537,4.87314,4.16691,4.33251,3.48123,3.05618,4.96278,2.69645,2.77595,4.79145,2.92457,3.05618,2.16272,2.16272,7.38966,5.34282,4.63537,6.51705,5.91915,8.37004,5.65482,6.28784,5.48396,6.58321,6.64699,1.81287
C19orf48,7.38969,7.13892,5.47412,5.51349,8.41459,7.51938,8.02584,8.10847,9.03285,5.25971,9.20566,8.64033,8.55124,8.18742,6.95675,9.52402,9.56469,7.39352,7.72192,7.47223,6.53965,7.17515,9.25769,8.67553,10.3407,8.69269,7.32254,7.28786,8.2454,7.49889,8.25395,7.23871,7.4111,8.17773,5.95955,8.6513,8.31686,9.53006,8.39705,8.50244,7.13384,8.39281,8.76635,8.64543,7.39734,6.27464,7.48542,7.90088,7.66804,8.90958,7.66284,6.86236,7.34635,6.68963,7.20421,7.71907,7.16833,6.81895,5.23546,5.12981,11.1909,9.15057,8.66182,9.99411,9.95609,9.41232,9.37505,9.56619,10.2409,9.58247,8.29838,6.51705
CAD,7.67462,9.37537,7.12986,7.28431,10.2692,8.76939,9.28152,9.62285,8.93077,8.99301,9.51737,8.98217,10.0936,9.35745,7.63847,9.65078,9.70267,8.83547,8.38486,7.34635,7.37048,8.78423,9.85755,8.33012,10.9641,9.05621,8.8864,8.78698,9.90051,8.47114,9.26562,8.47114,9.0923,9.50579,8.09754,10.6312,9.68762,10.3545,9.42341,9.61207,9.80546,9.65078,9.86224,9.0884,9.26547,7.84657,9.70267,9.78239,9.04766,9.05018,9.14276,8.76939,9.4615,8.73232,9.25769,9.70006,9.08301,8.68093,8.89501,7.88609,10.2707,9.72339,8.91634,10.5304,9.96323,9.73205,10.1472,10.2486,10.3081,10.296,9.40671,8.74845
CCNB2,5.4302,4.63623,2.92457,2.61696,7.72151,4.96278,6.6287,6.53965,6.84923,3.28517,8.83381,8.68341,6.78736,4.43111,0.113644,8.51653,9.04527,4.21911,4.43111,7.11651,0.113644,5.04875,7.52411,6.2249,9.63064,5.3649,3.54952,5.84343,5.50423,6.14657,8.57872,4.38682,6.11658,8.9198,4.47438,7.66387,7.84657,8.45124,6.72289,7.51876,6.00751,7.27416,7.8958,7.53071,4.96278,2.41968,8.10195,7.68261,7.18296,5.00576,4.63537,6.49365,4.47438,2.16272,2.92457,7.36483,4.11061,4.79364,2.77595,1.20968,10.3507,8.10586,6.9754,8.56752,9.16009,11.0559,8.55807,9.2492,7.96125,9.4341,9.29197,3.48123
CDC20,3.39116,4.13876,2.92457,2.41968,8.19723,5.34282,6.48238,6.60143,5.31558,2.92457,8.72773,8.01909,7.88005,5.10633,0.113644,9.13259,9.73726,3.48123,4.16691,7.26758,0.113644,4.59911,7.95029,0.113644,9.8434,5.7726,3.83108,4.3519,3.9543,5.3649,8.15074,4.16691,5.72615,8.52491,4.59911,8.10847,8.21748,9.91698,6.9462,7.33108,5.49435,6.68963,8.24096,7.37048,4.93037,1.20968,8.0758,7.72768,6.8903,5.78948,4.63537,5.47412,3.89584,1.81287,3.39116,7.51786,3.39116,4.16691,1.81287,1.20968,10.5171,8.43472,7.35721,9.79396,8.99984,10.5176,9.05246,9.41695,8.49852,10.1324,8.89555,3.33816
CDCA4,6.35023,6.33362,4.43111,3.92507,7.90252,6.38743,7.22876,7.18664,7.31085,5.74381,7.38492,8.05506,7.37048,5.59303,1.81287,7.49889,8.8243,5.63312,5.38652,4.36936,0.113644,5.28658,8.66757,0.113644,9.07803,7.9278,5.6025,7.50607,7.16566,7.38198,7.83026,6.86236,5.27315,8.45124,6.93534,8.07307,7.59665,9.255,7.96365,8.55271,7.17515,7.18296,7.89862,7.85883,6.33362,4.71212,6.17424,7.38969,6.37631,6.46263,7.23871,5.74381,5.10633,4.16691,3.70787,6.74466,3.70787,5.57065,2.92457,3.64478,9.37112,8.12035,8.29646,8.85257,8.55508,9.13927,8.16164,8.68093,7.92784,8.72942,7.70227,3.56825
CDCA5,4.00388,3.89584,3.48123,3.05618,7.30907,5.02256,5.8662,5.4736,5.76006,3.05618,8.20409,7.40873,6.91696,4.93037,0.113644,8.04272,8.2821,3.92507,4.47438,5.07618,0.113644,4.16691,7.82526,3.64478,9.74638,5.74381,4.33251,4.99416,4.63537,5.8662,7.6329,4.56034,6.16133,8.60987,4.87314,7.99444,7.28076,8.28634,6.13094,6.81895,5.36467,6.61965,7.0226,6.3224,5.12981,2.92457,7.07696,7.16288,6.3224,6.13604,4.38682,5.02256,5.07842,2.61696,4.21911,7.20777,4.43111,4.11061,1.20968,1.20968,9.98036,7.78955,5.90239,8.77292,8.58648,8.89763,8.26983,9.18701,8.40471,9.20129,8.86664,1.81287
CDCA8,4.21911,3.76961,2.77595,2.61696,7.37794,4.51527,6.04217,5.59303,5.3649,3.48123,8.04415,7.89843,6.59685,4.96278,0.113644,8.16697,8.60355,4.05725,4.3519,6.98464,0.113644,5.7726,7.56194,0.113644,10.0012,5.8662,4.1585,5.04875,4.59911,5.70924,7.54309,5.34282,5.38652,8.52491,7.12913,7.30552,7.38969,8.26064,6.09783,6.8182,4.84279,6.14657,7.02032,6.35023,4.63537,2.16272,7.10033,7.10985,6.3224,5.03629,4.80976,5.59303,4.93037,2.92457,2.92457,6.32694,2.77595,4.63537,1.81287,1.20968,9.21554,7.72768,6.11658,8.38924,8.2662,10.2872,8.2194,8.56886,7.79883,8.79012,8.1982,1.81287
CDK2,7.20421,7.85098,6.95675,6.33362,8.71028,7.39734,8.13855,7.97682,8.28634,7.0628,8.89544,9.49168,8.37323,7.9722,1.81287,8.72848,8.84983,6.64224,8.08888,7.67862,0.113644,7.20421,9.3222,6.53965,9.8008,8.44788,7.40785,7.7752,8.80141,7.70435,8.91465,7.78955,8.83322,9.57078,7.80521,12.4042,8.48608,9.0884,8.65633,8.75066,8.36021,7.94538,8.54385,7.63309,7.71533,6.77744,8.16697,8.67553,7.44713,8.2841,7.88005,6.41035,2.92457,4.89983,6.09783,7.74878,5.59303,7.96365,4.89983,3.05618,9.85522,8.8032,8.08164,9.75323,7.61247,6.99029,9.01157,9.59034,8.0918,9.56796,6.68963,7.84183
CDK4,10.5798,10.2791,9.50475,8.99648,10.4183,10.1192,10.0063,9.84671,9.90846,10.239,10.4015,9.95391,10.813,9.78113,9.26347,10.393,10.8766,10.2142,9.60558,7.82451,9.48322,9.35878,10.272,9.55663,11.159,9.42341,9.79272,9.22701,9.17669,9.62186,8.89787,8.4413,9.34152,9.33518,7.17565,11.2313,10.3615,10.1517,9.9367,9.56017,9.50722,10.9053,10.5703,10.5824,10.4239,8.81277,10.0191,10.3346,9.6997,9.74191,8.73498,9.20749,9.54344,8.696,9.26707,9.69292,9.4951,9.43513,8.03713,6.66685,11.2146,10.4699,9.55663,10.8815,10.04,8.9972,10.4771,10.587,10.498,10.9412,8.6799,8.8751
CDT1,4.89983,4.21911,2.77595,3.83272,6.64699,4.43111,5.74381,5.59303,8.04802,4.16691,7.00679,7.43796,6.39847,4.80976,4.74622,7.82002,7.78955,5.12981,4.77752,5.40837,2.16272,6.05008,7.85883,6.38743,9.69909,6.48238,4.3519,5.34282,4.9313,5.40837,7.96847,5.28658,6.20187,8.93702,6.20626,7.01057,6.8453,7.57981,6.23741,6.08333,5.34439,5.57065,6.71243,5.72615,4.74622,2.92457,6.62962,6.23741,5.8662,5.95075,5.28658,5.63312,6.24863,5.23546,5.90239,6.87382,5.98306,4.80976,3.39116,3.9543,7.74975,7.53683,5.78326,8.76542,8.18177,8.65434,8.07788,8.38705,7.73147,8.26448,6.31732,3.89584
CEP55,3.83218,3.73874,2.61696,2.16272,8.34567,4.63537,6.52299,6.34193,4.05534,2.92457,7.72151,7.54625,6.77744,3.39116,0.113644,7.84657,7.94077,2.61696,3.89584,3.9543,0.113644,4.47438,7.60901,0.113644,9.25801,5.4302,3.78572,4.71212,5.46204,5.98306,7.45836,3.64478,6.16133,8.64078,2.61696,7.03003,7.67462,8.65434,6.42264,7.37623,5.80482,6.46517,8.03915,6.88087,5.02256,1.20968,6.54968,7.66804,5.45333,5.14764,4.00388,4.16691,1.20968,1.20968,2.41968,5.51161,2.41968,3.05618,1.20968,0.113644,8.66038,7.62734,6.8453,9.05472,7.11356,8.32102,7.85656,9.24615,6.67824,9.38938,8.20221,1.20968
CHEK2,7.15725,6.19474,4.74622,5.9197,7.05908,6.35023,7.14836,7.06978,8.24738,6.96122,7.43737,7.04368,6.63774,6.46517,6.54968,7.56194,8.10586,6.64674,6.58321,6.39333,7.82526,6.35023,7.4111,8.03109,8.15985,7.4111,6.76355,7.49163,7.45854,7.07696,7.46656,6.54968,7.66355,7.29406,7.06615,6.95147,7.0628,7.32318,6.81484,7.20762,6.09783,6.91696,7.12477,7.37048,7.12679,4.59911,6.46517,6.53965,6.28742,6.86236,6.71195,6.83068,5.15699,7.26403,4.74622,5.7502,4.74622,6.03426,4.3519,4.16691,8.10847,7.31085,7.07696,6.72289,6.62654,7.9722,7.52174,7.73358,7.73975,7.90088,7.46935,4.82627
CHST14,7.73975,8.42617,6.66685,6.41055,8.77292,7.49889,8.35798,8.53794,7.04658,7.88005,7.13758,7.50409,9.01157,6.66685,4.93037,6.63774,7.53683,6.74061,6.76675,4.43111,5.45333,6.77744,7.10985,5.8662,7.18296,6.89949,7.47241,6.59685,7.43737,6.50485,6.62463,7.02366,6.87137,6.95675,6.78683,8.28507,8.43178,6.64674,7.00003,6.16133,6.79263,8.79963,8.63013,7.54934,9.22701,6.20187,7.17515,7.87338,6.07935,6.73353,6.79623,5.61397,4.11061,5.45333,7.14836,6.89521,6.88087,6.20796,5.23546,3.83218,6.68963,7.16833,6.37631,8.84201,7.84034,5.20789,6.93534,7.28786,7.58439,7.26034,5.89404,5.07842
DAXX,9.18625,9.46332,8.32085,8.06491,9.34613,8.69269,9.3781,8.9827,8.67553,8.19266,9.19481,10.1606,9.66947,9.4103,8.35972,9.52562,9.51726,8.94132,8.89247,9.01479,0.113644,8.74681,10.1487,8.6904,9.83659,9.99411,9.4629,9.86719,9.95365,9.57864,9.77462,9.97843,8.65847,9.26707,9.80659,9.35467,9.47119,9.7182,9.38776,9.25968,9.08306,9.37075,9.61522,9.0923,9.38776,8.62357,8.46608,9.0288,8.67553,8.41357,9.29509,8.56752,9.07164,8.46608,8.74681,9.20305,8.81003,9.21541,7.62057,6.72289,9.5156,9.39483,9.3095,9.49231,9.32713,9.29886,9.63581,9.486,8.99393,9.87578,9.13636,8.3868
DDB2,8.77292,8.98441,7.34635,7.63404,8.4504,8.01158,8.36805,8.2346,8.88637,8.33578,8.84371,8.46369,8.42438,8.69555,8.12035,8.43178,8.78132,7.87672,8.50053,7.64576,7.90918,8.11752,9.73955,8.5809,9.03239,9.18212,8.32334,8.66501,6.6958,8.87813,8.77115,8.06575,8.68912,8.52491,7.89836,9.66179,8.72465,8.94859,9.12701,8.34822,8.94132,8.61253,8.8837,8.38486,9.45919,7.18296,8.40087,8.37638,7.557,8.1753,8.6516,7.37048,6.59685,7.14836,7.80204,7.67106,6.99029,7.58896,7.20074,6.92548,9.72488,8.57341,8.6722,9.35141,10.689,9.84494,8.09873,8.8615,8.2346,8.72108,7.69897,6.41417
DTYMK,7.62734,7.30253,5.99799,7.34089,8.23902,7.74633,8.19468,7.49885,8.40585,7.98584,8.08354,8.29462,8.01158,7.69006,7.27416,8.15951,9.25769,7.51839,7.19727,6.85196,7.26685,6.79623,8.08888,8.10586,9.0288,7.82186,6.76272,7.26685,7.49163,7.48062,8.15544,6.83068,8.22359,8.13314,7.17292,8.6825,8.37323,8.38486,7.74633,7.70909,7.66095,7.72192,8.54554,8.64827,7.32318,6.80572,7.64512,7.95029,7.7752,7.66804,7.30561,7.97639,7.13293,7.25126,7.21103,7.4259,7.21103,7.13892,5.59303,5.88569,9.64968,8.60355,7.59665,9.30084,8.90263,8.17054,8.56131,8.54192,8.32748,8.74681,7.81499,6.39889
EFNA4,5.4302,5.97524,3.9543,3.70787,5.91845,5.4302,5.75193,5.63312,1.20968,3.56825,6.14614,7.28041,6.13094,5.96743,0.113644,6.58321,6.77744,2.77595,5.15699,5.83866,0.113644,3.56825,6.09783,0.113644,6.24302,5.79561,5.58184,5.84343,6.85776,5.65482,4.67269,6.42264,5.5331,3.9543,6.97839,5.81875,5.59303,6.59685,6.01703,6.27464,5.70924,6.35023,6.3239,5.02256,5.91845,2.77595,5.18213,5.69219,4.43111,4.40897,5.34282,2.61696,1.81287,3.64478,3.64478,2.99037,3.48123,3.83218,2.16272,1.20968,6.83068,5.79561,6.86236,6.38743,6.01657,6.37631,5.49388,6.87137,6.17424,6.78736,2.77595,3.70787
EIF4A1,11.5902,12.0746,11.4588,11.3629,12.9483,12.9723,12.7703,12.5685,12.7285,11.9021,13.5246,12.9888,13.0843,12.7905,10.3718,13.1328,13.3908,11.9146,12.3125,12.6369,10.4795,12.1074,12.9992,11.0407,12.9857,12.6428,12.3962,12.8512,12.5478,13.0843,12.4978,12.1232,12.2477,12.4456,11.7399,13.3188,12.8951,13.4898,12.956,12.991,11.8609,12.8179,13.2754,12.8274,12.1863,10.5304,12.5667,12.7997,12.5099,13.4028,12.2368,12.099,12.4857,12.3633,12.1684,13.174,11.6602,12.1916,11.0523,9.15057,13.7567,13.0612,13.0325,13.3446,12.7307,12.1838,13.2647,13.4683,13.1515,13.4468,11.7346,12.9203
EIF5A,10.8927,11.116,11.1339,10.944,12.1994,11.6455,11.5573,11.5708,11.3217,9.98036,12.0038,12.4289,12.3819,11.9031,9.7665,12.2477,13.0553,10.6085,11.6947,10.2952,10.0829,11.0327,12.2867,10.4051,12.5577,11.3405,11.92,11.3311,11.5349,11.4183,11.1957,11.1094,11.3898,10.9732,10.2838,12.5047,11.8941,12.8902,11.9571,11.9371,10.9491,12.0091,11.8912,11.3461,11.4463,11.4069,10.607,11.4278,11.0609,11.4099,11.1285,10.6858,12.1158,10.9557,11.417,11.172,11.4278,10.4633,10.0873,9.20749,13.2403,11.9183,11.9828,12.4722,10.7084,9.93988,12.0395,12.0237,10.8563,12.0763,10.4792,10.6979
ESPL1,4.71212,4.05534,2.92457,4.1115,6.99516,4.80976,6.05806,6.37622,7.65305,3.89584,7.47526,8.93958,6.14657,5.93591,4.77752,7.88005,8.31686,5.341,6.14657,7.16175,3.48123,6.49365,7.84657,7.19032,9.44272,6.73209,5.88094,6.8903,5.18244,6.85317,7.43941,5.45333,6.87137,8.72465,5.50423,8.00364,7.13593,7.82186,7.01742,6.84575,6.5393,6.2249,6.45452,6.85317,4.96278,3.28517,7.02366,6.89949,6.26032,7.05313,6.03426,6.07935,2.77595,4.13876,3.70787,7.16597,3.70787,4.93037,2.41968,2.92457,9.06387,7.70909,5.65482,8.15151,7.91812,9.38365,8.51173,8.84623,8.42808,8.5857,7.96587,7.18725
FANCA,4.43111,5.04875,3.9543,4.77752,7.27746,5.28658,6.16779,5.80336,7.60901,5.11807,8.03966,7.3845,6.33362,6.89949,1.20968,8.42438,7.80204,4.74622,6.53965,6.21338,0.113644,6.47324,8.21284,4.3519,9.03823,7.83709,7.199,7.26685,6.52893,7.37048,8.12035,8.25667,6.35023,8.44455,8.63866,7.96179,6.9828,7.67462,6.67736,6.98655,6.20796,6.30103,6.7397,6.21406,5.49388,3.39116,7.20421,7.06978,6.61965,7.24624,7.49163,5.90239,5.88569,5.69219,4.16691,7.2426,4.43111,5.4302,3.05618,5.02256,8.95019,7.92253,6.35023,8.97815,7.93237,8.02584,8.55418,8.81447,8.18063,8.84201,8.33958,3.73874
FANCG,5.63312,6.47324,5.25971,4.24429,7.19726,6.2249,6.58321,6.70473,6.58321,6.46517,8.01878,7.94908,7.07696,6.03426,0.113644,7.62734,7.99022,5.89755,5.84343,5.52384,0.113644,6.14657,8.08543,0.113644,8.15951,7.60281,5.61001,7.0628,7.23542,6.75783,7.5352,6.74061,6.87137,7.44713,7.14065,7.78372,7.21103,7.69953,6.91696,7.21821,6.73175,6.90917,7.05049,6.79623,7.00003,5.12981,7.13293,7.26034,7.27416,6.20185,6.88087,6.35023,6.01703,6.73635,6.26032,8.18047,5.93591,7.06629,4.77752,5.51459,9.28653,7.52411,6.60849,8.66757,6.15395,5.67402,7.72192,8.47543,7.14836,8.63133,6.78736,5.23546
FBL,8.87813,10.2429,8.85604,8.49778,9.54674,8.51653,9.28129,9.92517,10.1606,8.47702,10.2098,10.3349,10.0208,8.9972,7.88005,10.5512,10.4202,9.31886,9.67365,8.47389,8.7669,9.36558,11.3755,9.9955,11.5401,10.1704,8.2174,8.79963,10.6271,8.78132,9.97506,9.77664,8.24247,10.0991,7.47794,9.76557,9.58366,10.5397,9.92517,10.3815,9.14807,9.85859,9.78048,8.97262,9.60747,9.04961,9.04138,9.18625,8.98773,9.30575,9.86848,8.97048,7.89585,8.24099,9.33719,9.97843,9.28508,9.44685,7.60901,6.49365,11.561,10.2262,9.59131,10.1555,10.6996,10.2673,10.4652,10.4349,10.9388,10.3098,10.0468,7.8248
FOXM1,5.10633,5.30108,4.38682,6.45452,8.88354,5.81111,7.7248,8.02429,8.12696,5.23546,8.76833,8.52669,8.46608,5.47412,4.51527,8.86664,9.09642,6.95537,5.74381,6.45202,6.2249,6.16133,7.23213,7.78223,9.43595,6.62962,4.87556,5.98306,5.64397,6.4358,7.73242,5.7726,7.18296,8.45124,6.8112,9.27977,8.75978,9.24262,7.9143,7.66284,8.25347,7.22538,9.19973,7.83709,7.26034,4.43111,8.60063,8.64827,7.38969,8.37321,6.24863,7.00003,4.00388,4.3519,5.38652,8.31601,6.17424,6.21948,4.74622,6.06605,9.57166,8.58717,7.31085,9.48624,8.27573,8.12929,8.79188,9.27163,8.37626,9.62438,8.14479,5.27315
GEMIN4,7.47443,7.92784,7.31371,7.91184,8.10836,7.69006,7.9143,8.25328,7.47443,7.87338,8.45016,8.62517,8.42013,7.69006,6.28742,8.45857,8.71667,7.90088,7.40438,6.12958,0.113644,7.53683,8.99301,0.113644,9.57949,8.39705,7.45576,7.86326,8.37904,7.56194,8.18058,7.66284,7.23213,8.04272,6.50535,8.42404,8.20847,9.36086,8.58717,8.56752,8.07415,8.12393,8.27341,8.01669,8.26064,7.96015,7.85429,7.91821,7.70909,7.861,7.98143,6.99029,7.14836,7.63578,6.95675,8.53573,6.89949,7.21826,6.07935,7.74633,10.153,8.47702,8.34797,8.8032,7.89718,7.22538,8.47114,8.78132,8.24688,8.74681,9.03975,6.88576
